Date,Apple (AAPL),Alphabet (GOOGL),Bank of America (BAC)
03-01-17,116.15,808.01,22.53
04-01-17,116.02,807.77,22.95
05-01-17,116.61,813.02,22.68
06-01-17,117.91,825.21,22.68
09-01-17,118.99,827.18,22.55
10-01-17,119.11,826.01,22.94
11-01-17,119.75,829.86,23.07
12-01-17,119.25,829.53,22.92
13-01-17,119.04,830.94,23.01
17-01-17,120.0,827.46,22.05
18-01-17,119.99,829.02,22.63
19-01-17,119.78,824.37,22.53
20-01-17,120.0,828.17,22.64
23-01-17,120.08,844.43,22.56
24-01-17,119.97,849.53,22.95
25-01-17,121.88,858.45,23.37
26-01-17,121.94,856.98,23.44
27-01-17,121.95,845.03,23.36
30-01-17,121.63,823.83,22.95
31-01-17,121.35,820.19,22.64
01-02-17,128.75,815.24,22.89
02-02-17,128.53,818.26,22.72
03-02-17,129.08,820.13,23.29
06-02-17,130.29,821.62,23.12
07-02-17,131.53,829.23,22.9
08-02-17,132.04,829.88,22.67
09-02-17,132.42,830.06,23.12
10-02-17,132.12,834.85,23.08
13-02-17,133.29,838.96,23.4
14-02-17,135.02,840.03,24.06
15-02-17,135.51,837.32,24.58
16-02-17,135.34,842.17,24.58
17-02-17,135.72,846.55,24.52
21-02-17,136.7,849.27,24.78
22-02-17,137.11,851.36,24.79
23-02-17,136.53,851.0,24.58
24-02-17,136.66,847.81,24.23
27-02-17,136.93,849.67,24.57
28-02-17,136.99,844.93,24.68
01-03-17,139.79,856.75,25.5
02-03-17,138.96,849.85,25.23
03-03-17,139.78,849.08,25.44
06-03-17,139.34,847.27,25.25
07-03-17,139.52,851.15,25.21
08-03-17,139.0,853.64,25.26
09-03-17,138.68,857.84,25.35
10-03-17,139.14,861.4,25.31
13-03-17,139.2,864.58,25.3
14-03-17,138.99,865.91,25.32
15-03-17,140.46,868.39,25.18
16-03-17,140.69,870.0,25.22
17-03-17,139.99,872.37,24.86
20-03-17,141.46,867.91,24.44
21-03-17,139.84,850.14,23.02
22-03-17,141.42,849.8,22.94
23-03-17,140.92,839.65,23.07
24-03-17,140.64,835.14,23.12
27-03-17,140.88,838.51,23.03
28-03-17,143.8,840.63,23.48
29-03-17,144.12,849.87,23.35
30-03-17,143.93,849.48,23.87
31-03-17,143.66,847.8,23.59
03-04-17,143.7,856.75,23.59
04-04-17,144.77,852.57,23.44
05-04-17,144.02,848.91,23.17
06-04-17,143.66,845.1,23.26
07-04-17,143.34,842.1,23.16
10-04-17,143.17,841.7,23.02
11-04-17,141.63,839.88,22.92
12-04-17,141.8,841.46,22.65
13-04-17,141.05,840.18,22.34
17-04-17,141.83,855.13,22.81
18-04-17,141.2,853.99,22.71
19-04-17,140.68,856.51,22.74
20-04-17,142.44,860.08,23.07
21-04-17,142.27,858.95,22.71
24-04-17,143.64,878.93,23.63
25-04-17,144.53,888.84,23.98
26-04-17,143.68,889.14,23.89
27-04-17,143.79,891.44,23.65
28-04-17,143.65,924.52,23.34
01-05-17,146.58,932.82,23.61
02-05-17,147.51,937.09,23.53
03-05-17,147.06,948.45,23.77
04-05-17,146.53,954.72,23.85
05-05-17,148.96,950.28,23.74
08-05-17,153.01,958.69,23.96
09-05-17,153.99,956.71,23.98
10-05-17,153.26,954.84,24.15
11-05-17,153.95,955.89,24.07
12-05-17,156.1,955.14,24.0
15-05-17,155.7,959.22,24.06
16-05-17,155.47,964.61,23.99
17-05-17,150.25,942.17,22.57
18-05-17,152.54,950.5,22.74
19-05-17,153.06,954.65,23.05
22-05-17,153.99,964.07,23.04
23-05-17,153.8,970.55,23.39
24-05-17,153.34,977.61,23.36
25-05-17,153.87,991.86,23.25
26-05-17,153.61,993.27,23.24
30-05-17,153.67,996.17,22.91
31-05-17,152.76,987.09,22.41
01-06-17,153.18,988.29,22.63
